# y, u-velocity, v-velocity, w-velocity, pressure, vis, vorticity, normal, ko2_tke, ko2_omega
8.331516981124877930e-01 1.119920730590820312e+00 3.599559886269254605e-13 0.000000000000000000e+00 -3.362337679391202983e-07 7.339030504226684570e-03 -7.150057703256607056e-02 8.332369923591613770e-01 3.397451015189290047e-03 4.629822075366973877e-01
8.660981059074401855e-01 1.122029542922973633e+00 3.118087656562434917e-13 0.000000000000000000e+00 -3.362337963608297287e-07 7.418006658554077148e-03 -5.678532645106315613e-02 8.661661744117736816e-01 3.309309715405106544e-03 4.461572468280792236e-01
8.993250131607055664e-01 1.123674988746643066e+00 2.758826695738181289e-13 0.000000000000000000e+00 -3.362339384693768807e-07 7.481246720999479294e-03 -4.234158247709274292e-02 8.993800878524780273e-01 3.239747136831283569e-03 4.330673813819885254e-01
9.327643513679504395e-01 1.124850153923034668e+00 2.487098255208458619e-13 0.000000000000000000e+00 -3.362340521562146023e-07 7.527581881731748581e-03 -2.810812182724475861e-02 9.328002333641052246e-01 3.189502982422709465e-03 4.237194955348968506e-01
9.663463830947875977e-01 1.125560164451599121e+00 1.692898750869920033e-13 0.000000000000000000e+00 -3.362340805779240327e-07 7.555817253887653351e-03 -1.401777006685733795e-02 9.663664102554321289e-01 3.159123240038752556e-03 4.181082248687744141e-01
1.000000000000000000e+00 1.125793695449829102e+00 -5.145689646948725660e-13 0.000000000000000000e+00 -3.362305278642452322e-07 7.565283216536045074e-03 5.488797957808877470e-11 9.745631217956542969e-01 3.148972755298018456e-03 4.162386953830718994e-01
1.033653616905212402e+00 1.125560164451599121e+00 -1.721053719460838294e-13 0.000000000000000000e+00 -3.362341374213428935e-07 7.555817253887653351e-03 1.401777006685733795e-02 9.663664102554321289e-01 3.159123240038752556e-03 4.181082248687744141e-01
1.067235589027404785e+00 1.124850153923034668e+00 -2.414258300654364975e-13 0.000000000000000000e+00 -3.362340521562146023e-07 7.527581881731748581e-03 2.810812182724475861e-02 9.328002333641052246e-01 3.189502982422709465e-03 4.237194955348968506e-01
1.100674986839294434e+00 1.123674988746643066e+00 -2.733847490835744631e-13 0.000000000000000000e+00 -3.362340521562146023e-07 7.481246720999479294e-03 4.234158247709274292e-02 8.993800878524780273e-01 3.239747136831283569e-03 4.330673813819885254e-01
1.133901834487915039e+00 1.122029542922973633e+00 -3.141589636004860076e-13 0.000000000000000000e+00 -3.362336258305731462e-07 7.418006658554077148e-03 5.678532645106315613e-02 8.661661744117736816e-01 3.309309715405106544e-03 4.461572468280792236e-01
1.166848301887512207e+00 1.119920730590820312e+00 -3.597462497166581397e-13 0.000000000000000000e+00 -3.362338816259580199e-07 7.339030504226684570e-03 7.150057703256607056e-02 8.332369923591613770e-01 3.397451015189290047e-03 4.629822075366973877e-01
1.199448585510253906e+00 1.117343544960021973e+00 -4.123750223673089410e-13 0.000000000000000000e+00 -3.362338247825391591e-07 7.245904766023159027e-03 8.654405176639556885e-02 8.006553053855895996e-01 3.503186861053109169e-03 4.835449755191802979e-01
